identifier,Name,Description,CRM Path,used by
builtwork_177_location_-_institution_address,Location - Institution Address,This field is used to document the address at which the documented instance of built work is located.,->P53->E53[177_1]->P1->E33_E41[177_2]<br><br>P53->E53[177_1]->P1->E33_E41[177_2]->P2->E55[177_3],
builtwork_178_location_-_coordinates,Location - coordinates,This field is used to indicate the coordinates at which the documented instance of built work is presently located.,->P53->E53[177_1]->P168->geo:wkt,
